Player,Pos,Squad,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Kelechi Iheanacho,FW,Leicester City,0.4,9,8,1,0,0,0,0,0,0,0,0,0,6,2,1,8,1,0,0,0,7,0,0,0,1
Danny Ings,FW,Aston Villa,1.9,40,37,3,0,0,11,1,1,0,0,0,0,31,5,4,6,31,1,0,0,32,0,0,3,2
Alex Iwobi,MF,Everton,3,143,141,2,2,0,16,8,3,0,0,0,0,102,13,28,16,122,5,0,0,117,1,1,4,3
Daniel James,FW,Leeds United,1.4,26,26,0,0,0,5,0,3,0,0,0,0,17,4,5,4,22,0,0,0,16,0,0,2,2
Reece James,DF,Chelsea,3,224,176,48,11,0,19,4,9,13,9,1,1,150,31,43,18,169,8,24,1,189,0,5,3,5
Vitaly Janelt,MFDF,Brentford,1.7,78,71,7,5,0,9,6,1,1,1,0,0,55,9,14,62,12,2,1,1,68,2,0,1,0
Pontus Jansson,DF,Brentford,3,125,124,1,1,1,8,3,0,0,0,0,0,90,14,21,6,104,10,0,1,111,0,2,4,2
Mathias Jensen,MF,Brentford,2.1,97,75,22,7,0,10,8,4,8,4,3,1,49,13,35,15,69,5,6,0,72,2,1,2,1
Gabriel Jesus,FW,Arsenal,2.8,78,73,5,0,0,15,2,2,0,0,0,0,61,6,11,6,65,2,0,2,61,0,1,2,4
Raúl Jiménez,FW,Wolves,0.4,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0
Joelinton,MF,Newcastle Utd,3,118,114,4,1,0,19,3,4,1,0,0,0,89,14,15,20,83,7,1,0,104,0,1,5,0
Ben Johnson,DF,West Ham,2.2,80,75,5,1,0,7,4,1,0,0,0,0,47,12,21,19,53,4,3,0,63,1,2,1,3
Brennan Johnson,FW,Nott'ham Forest,3,49,46,3,0,0,8,1,4,1,1,0,0,21,15,13,5,38,4,0,1,22,0,0,2,7
Jorginho,MF,Chelsea,2.5,159,156,3,3,0,22,7,1,0,0,0,0,127,13,19,6,147,5,0,0,138,0,1,5,3
James Justin,DF,Leicester City,3,138,111,27,2,0,12,4,2,0,0,0,0,79,32,27,29,71,7,25,1,112,0,3,5,2
Boubacar Kamara,MF,Aston Villa,2.9,190,183,7,7,0,27,7,0,0,0,0,0,135,22,33,24,145,14,0,0,162,0,4,5,3
Harry Kane,FW,Tottenham,3,64,56,8,2,2,14,4,2,0,0,0,0,38,10,16,6,51,3,1,1,51,1,0,5,1
N'Golo Kanté,MF,Chelsea,1.9,120,120,0,0,0,16,3,2,0,0,0,0,96,13,11,16,101,2,0,0,103,0,3,5,2
Neeskens Kebano,FW,Fulham,1.6,39,39,0,0,0,7,2,6,0,0,0,0,25,6,8,7,30,1,0,0,25,0,3,3,1
Thilo Kehrer,DF,West Ham,1,63,61,2,2,0,5,0,0,0,0,0,0,48,6,9,36,21,5,0,0,58,0,2,1,0
Lloyd Kelly,DF,Bournemouth,3,127,112,15,6,0,15,5,4,0,0,0,0,80,9,38,104,7,2,9,1,98,0,4,2,2
Max Kilman,DF,Wolves,3,217,214,3,3,0,32,2,0,0,0,0,0,172,16,29,164,38,6,0,0,188,0,5,6,0
