,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Joe Gelhardt,FW,Leeds United,0.2,6,1,2,3,1,0,6,0,0,,0,0,4,32,27,1,0,0,1,0,12,4,33.3,1
Saman Ghoddos,FW,Brentford,0.1,2,1,2,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Morgan Gibbs-White,FW,Wolves,2,122,2,17,62,50,4,115,2,8,25,2,2,81,419,239,11,6,0,5,0,113,87,77,10
Morgan Gibbs-White,MF,Nott'ham Forest,0.3,18,1,3,9,6,0,18,2,2,100,2,0,11,21,8,0,0,0,2,1,21,14,66.7,2
Ben Godfrey,DF,Everton,0.2,4,0,2,3,0,0,4,0,0,,0,0,4,16,0,0,0,0,0,0,4,4,100,0
Joe Gomez,DF,Liverpool,1.3,151,9,62,94,7,0,149,0,0,,0,0,114,594,369,8,0,0,0,0,107,106,99.1,0
Anthony Gordon,FW,Everton,3,116,2,18,52,60,17,110,3,6,50,4,0,86,491,292,15,3,6,8,17,132,83,62.9,13
Demarai Gray,FW,Everton,2.9,131,0,11,56,74,14,106,5,9,55.6,6,0,85,596,363,15,5,2,12,8,121,85,70.2,24
Jack Grealish,FW,Manchester City,1.5,106,0,7,48,64,9,105,2,3,66.7,2,0,97,662,333,20,8,4,2,0,106,94,88.7,10
Sam Greenwood,MFFW,Leeds United,0.3,16,0,2,8,6,1,13,0,0,,0,0,6,31,7,1,0,0,0,0,10,8,80,2
Pascal Groß,MFDF,Brighton,3,156,2,12,58,94,11,141,0,0,,0,0,99,356,211,14,4,0,9,5,126,115,91.3,19
Vicente Guaita,GK,Crystal Palace,3,107,93,107,0,0,0,75,0,0,,0,0,50,235,133,0,0,0,0,0,46,46,100,0
Gonçalo Guedes,FW,Wolves,1.3,47,1,1,21,31,4,45,1,3,33.3,1,0,33,242,157,10,4,0,1,0,49,38,77.6,9
Marc Guéhi,DF,Crystal Palace,3,210,37,136,77,5,2,207,0,0,,0,0,131,470,282,1,0,0,0,3,150,149,99.3,1
Bruno Guimarães,MF,Newcastle Utd,3,182,6,42,102,51,3,180,5,8,62.5,5,1,132,619,273,11,3,0,3,10,131,123,93.9,4
İlkay Gündoğan,MF,Manchester City,2.6,178,4,14,94,77,19,175,2,6,33.3,2,1,132,542,272,15,6,1,2,1,161,145,90.1,21
Erling Haaland,FW,Manchester City,2.7,67,2,4,29,34,19,61,1,1,100,1,0,40,115,55,3,0,3,4,3,88,56,63.6,22
Jack Harrison,FW,Leeds United,2.8,142,4,24,54,79,11,132,6,9,66.7,6,0,92,494,306,17,5,1,6,12,114,93,81.6,16
Kai Havertz,FWMF,Chelsea,2.8,109,4,6,38,71,18,107,4,7,57.1,4,0,67,326,184,10,1,3,4,9,123,78,63.4,23
Hwang Hee-chan,FW,Wolves,1.7,57,1,9,20,33,7,56,3,7,42.9,4,0,41,309,183,9,2,3,2,4,65,41,63.1,9
