Player,Pos,Squad,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Player,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Ben Chilwell,DF,Chelsea,0.9,35,44,79.5,495,99,18,18,100,13,15,86.7,2,7,28.6,0,0,0,0,0,0,0,1
Ryan Christie,MFFW,Bournemouth,1,23,29,79.3,464,95,9,11,81.8,8,9,88.9,5,8,62.5,0,0,0,1,1,0,0,2
Nathaniel Clyne,DF,Crystal Palace,2,83,105,79,1461,571,31,33,93.9,50,64,78.1,2,6,33.3,0,0.1,-0.1,1,10,0,0,5
Conor Coady,DF,Everton,1.9,81,92,88,1950,654,23,23,100,40,42,95.2,18,26,69.2,0,0.1,-0.1,1,8,1,0,5
Jack Colback,MF,Nott'ham Forest,1,22,25,88,344,97,13,14,92.9,8,9,88.9,1,2,50,0,0,0,0,3,0,0,3
Nathan Collins,DF,Wolves,3,195,215,90.7,4387,1287,44,45,97.8,112,119,94.1,34,46,73.9,0,0,0,0,13,0,0,4
Levi Colwill,DF,Brighton,0,1,1,100,23,23,0,0,,1,1,100,0,0,,0,0,0,0,1,0,0,1
Lewis Cook,MF,Bournemouth,1.4,44,52,84.6,871,88,17,18,94.4,21,22,95.5,6,9,66.7,0,0,0,0,1,0,0,0
Steve Cook,DF,Nott'ham Forest,1.1,53,60,88.3,1307,341,4,5,80,42,45,93.3,7,10,70,0,0,0,0,4,0,0,3
Maxwel Cornet,FW,West Ham,0.2,8,10,80,109,17,5,7,71.4,3,3,100,0,0,,0,0,0,0,0,0,0,1
Vladimír Coufal,DF,West Ham,2.8,79,119,66.4,1628,964,30,34,88.2,37,51,72.5,12,31,38.7,0,0.1,-0.1,3,10,3,1,13
Philippe Coutinho,MFFW,Aston Villa,1.7,71,90,78.9,1087,136,41,45,91.1,24,31,77.4,5,11,45.5,0,0,0,1,4,0,0,5
Conor Coventry,MF,West Ham,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Aaron Cresswell,DF,West Ham,3,127,159,79.9,2256,1091,67,70,95.7,45,53,84.9,15,31,48.4,0,0.6,-0.6,8,13,3,3,13
Marc Cucurella,DF,Chelsea,2.2,156,188,83,2839,872,69,74,93.2,67,81,82.7,16,23,69.6,1,0.3,+0.7,4,11,2,1,6
Patson Daka,FW,Leicester City,0.8,6,13,46.2,75,27,4,8,50,2,3,66.7,0,1,0,0,0,0,0,0,0,0,0
